block_id,start,noise,steps,p1,p2,p3,p4,p5,p6,depth,Q,action,Q_var,Q_abs,Q_abs_max,Q_diff,a_optim
55,6,0,3,10.0,20.0,20.0,-20.0,0.0,-10.0,3,44.00000095367432,0,160.9116680198503,44.00000095367432,44.00000095367432,-16.99125289916993,0
55,6,0,3,10.0,20.0,20.0,-20.0,0.0,-10.0,3,27.008748054504395,1,160.9116680198503,27.008748054504395,44.00000095367432,-16.99125289916993,0
56,1,0,3,20.0,0.0,10.0,-20.0,-20.0,20.0,1,-2.0000000298023224,0,162.3937359735376,2.0000000298023224,22.99999952316284,-20.999999493360516,0
56,1,0,3,20.0,0.0,10.0,-20.0,-20.0,20.0,1,-22.99999952316284,1,162.3937359735376,22.99999952316284,22.99999952316284,-20.999999493360516,0
56,1,0,3,20.0,0.0,10.0,-20.0,-20.0,20.0,2,6.000000238418579,0,162.3937359735376,6.000000238418579,22.99999952316284,-11.25,0
56,1,0,3,20.0,0.0,10.0,-20.0,-20.0,20.0,2,-5.249999761581421,1,162.3937359735376,5.249999761581421,22.99999952316284,-11.25,0
56,1,0,3,20.0,0.0,10.0,-20.0,-20.0,20.0,3,-13.99999976158142,0,162.3937359735376,13.99999976158142,22.99999952316284,25.699998140335083,1
56,1,0,3,20.0,0.0,10.0,-20.0,-20.0,20.0,3,11.699998378753662,1,162.3937359735376,11.699998378753662,22.99999952316284,25.699998140335083,1
57,3,0,3,-10.0,-10.0,20.0,-10.0,10.0,-10.0,1,-12.000000476837158,0,71.42375513434452,12.000000476837158,16.000001430511475,15.0,1
57,3,0,3,-10.0,-10.0,20.0,-10.0,10.0,-10.0,1,2.999999523162842,1,71.42375513434452,2.999999523162842,16.000001430511475,15.0,1
57,3,0,3,-10.0,-10.0,20.0,-10.0,10.0,-10.0,2,-4.000000357627869,0,71.42375513434452,4.000000357627869,16.000001430511475,-4.000001549720764,0
57,3,0,3,-10.0,-10.0,20.0,-10.0,10.0,-10.0,2,-8.000001907348633,1,71.42375513434452,8.000001907348633,16.000001430511475,-4.000001549720764,0
57,3,0,3,-10.0,-10.0,20.0,-10.0,10.0,-10.0,3,-16.000001430511475,0,71.42375513434452,16.000001430511475,16.000001430511475,21.65000081062317,1
57,3,0,3,-10.0,-10.0,20.0,-10.0,10.0,-10.0,3,5.649999380111694,1,71.42375513434452,5.649999380111694,16.000001430511475,21.65000081062317,1
58,5,0,3,20.0,20.0,10.0,-10.0,-20.0,0.0,1,-2.0000000298023224,0,140.92934072765172,2.0000000298023224,33.999998569488525,16.50000050663948,1
58,5,0,3,20.0,20.0,10.0,-10.0,-20.0,0.0,1,14.500000476837158,1,140.92934072765172,14.500000476837158,33.999998569488525,16.50000050663948,1
58,5,0,3,20.0,20.0,10.0,-10.0,-20.0,0.0,2,15.999999046325684,0,140.92934072765172,15.999999046325684,33.999998569488525,6.000001430511478,1
58,5,0,3,20.0,20.0,10.0,-10.0,-20.0,0.0,2,22.00000047683716,1,140.92934072765172,22.00000047683716,33.999998569488525,6.000001430511478,1
58,5,0,3,20.0,20.0,10.0,-10.0,-20.0,0.0,3,33.999998569488525,0,140.92934072765172,33.999998569488525,33.999998569488525,-22.289998531341553,0
58,5,0,3,20.0,20.0,10.0,-10.0,-20.0,0.0,3,11.710000038146973,1,140.92934072765172,11.710000038146973,33.999998569488525,-22.289998531341553,0
59,1,0,3,20.0,-20.0,-20.0,-10.0,-20.0,-20.0,1,-22.00000047683716,0,171.24378201962014,22.00000047683716,56.00000381469727,-2.4999976158142054,0
59,1,0,3,20.0,-20.0,-20.0,-10.0,-20.0,-20.0,1,-24.499998092651367,1,171.24378201962014,24.499998092651367,56.00000381469727,-2.4999976158142054,0
59,1,0,3,20.0,-20.0,-20.0,-10.0,-20.0,-20.0,2,-38.00000190734863,0,171.24378201962014,38.00000190734863,56.00000381469727,-6.499996185302734,0
59,1,0,3,20.0,-20.0,-20.0,-10.0,-20.0,-20.0,2,-44.49999809265137,1,171.24378201962014,44.49999809265137,56.00000381469727,-6.499996185302734,0
59,1,0,3,20.0,-20.0,-20.0,-10.0,-20.0,-20.0,3,-56.00000381469727,0,171.24378201962014,56.00000381469727,56.00000381469727,27.250003814697273,1
59,1,0,3,20.0,-20.0,-20.0,-10.0,-20.0,-20.0,3,-28.75,1,171.24378201962014,28.75,56.00000381469727,27.250003814697273,1
60,2,0,3,20.0,10.0,0.0,0.0,-20.0,-10.0,1,-2.0000000298023224,0,55.70440632941533,2.0000000298023224,18.45000028610229,-4.000000208616257,0
60,2,0,3,20.0,10.0,0.0,0.0,-20.0,-10.0,1,-6.000000238418579,1,55.70440632941533,6.000000238418579,18.45000028610229,-4.000000208616257,0
60,2,0,3,20.0,10.0,0.0,0.0,-20.0,-10.0,2,-4.000000059604645,0,55.70440632941533,4.000000059604645,18.45000028610229,-14.450000226497647,0
60,2,0,3,20.0,10.0,0.0,0.0,-20.0,-10.0,2,-18.45000028610229,1,55.70440632941533,18.45000028610229,18.45000028610229,-14.450000226497647,0
60,2,0,3,20.0,10.0,0.0,0.0,-20.0,-10.0,3,-18.000000715255737,0,55.70440632941533,18.000000715255737,18.45000028610229,14.065000116825104,1
60,2,0,3,20.0,10.0,0.0,0.0,-20.0,-10.0,3,-3.9350005984306335,1,55.70440632941533,3.9350005984306335,18.45000028610229,14.065000116825104,1
61,5,0,3,20.0,20.0,10.0,0.0,-20.0,-10.0,1,-12.000000476837158,0,189.1412817239772,12.000000476837158,23.999998569488525,26.500000953674316,1
61,5,0,3,20.0,20.0,10.0,0.0,-20.0,-10.0,1,14.500000476837158,1,189.1412817239772,14.500000476837158,23.999998569488525,26.500000953674316,1
61,5,0,3,20.0,20.0,10.0,0.0,-20.0,-10.0,2,5.999999046325684,0,189.1412817239772,5.999999046325684,23.999998569488525,16.500000953674316,1
61,5,0,3,20.0,20.0,10.0,0.0,-20.0,-10.0,2,22.5,1,189.1412817239772,22.5,23.999998569488525,16.500000953674316,1
61,5,0,3,20.0,20.0,10.0,0.0,-20.0,-10.0,3,23.999998569488525,0,189.1412817239772,23.999998569488525,23.999998569488525,-3.312497138977051,0
61,5,0,3,20.0,20.0,10.0,0.0,-20.0,-10.0,3,20.687501430511475,1,189.1412817239772,20.687501430511475,23.999998569488525,-3.312497138977051,0
