id;block_id;group;Qm;groupXQm;Pred;intercept_ID;b_group;b_Qm_ID;b_groupXQm;Pred_TEST
26;2;0;22.5;0;2.401;1.942642857;0.027779;0.020371429;0.004141;2.401
26;3;0;22;0;2.3909;1.942642857;0.027779;0.020371429;0.004141;2.390814286
26;4;0;26;0;2.4723;1.942642857;0.027779;0.020371429;0.004141;2.4723
26;5;0;18;0;2.3095;1.942642857;0.027779;0.020371429;0.004141;2.309328571
26;6;0;12;0;2.1874;1.942642857;0.027779;0.020371429;0.004141;2.1871
26;7;0;27.08;0;2.4941;1.942642857;0.027779;0.020371429;0.004141;2.494301143
26;8;0;26;0;2.4723;1.942642857;0.027779;0.020371429;0.004141;2.4723
26;9;0;12;0;2.1874;1.942642857;0.027779;0.020371429;0.004141;2.1871
26;10;0;22;0;2.3909;1.942642857;0.027779;0.020371429;0.004141;2.390814286
26;11;0;24;0;2.4316;1.942642857;0.027779;0.020371429;0.004141;2.431557143
26;12;0;26;0;2.4723;1.942642857;0.027779;0.020371429;0.004141;2.4723
26;13;0;8.8;0;2.1224;1.942642857;0.027779;0.020371429;0.004141;2.121911429
26;14;0;15;0;2.2485;1.942642857;0.027779;0.020371429;0.004141;2.248214286
26;15;0;22;0;2.3909;1.942642857;0.027779;0.020371429;0.004141;2.390814286
26;16;0;8.5;0;2.1162;1.942642857;0.027779;0.020371429;0.004141;2.1158
26;17;0;16.23;0;2.2734;1.942642857;0.027779;0.020371429;0.004141;2.273271143
26;18;0;12;0;2.1874;1.942642857;0.027779;0.020371429;0.004141;2.1871
26;19;0;22;0;2.3909;1.942642857;0.027779;0.020371429;0.004141;2.390814286
26;20;0;14;0;2.2281;1.942642857;0.027779;0.020371429;0.004141;2.227842857
26;21;0;36;0;2.6757;1.942642857;0.027779;0.020371429;0.004141;2.676014286
26;22;0;27;0;2.4926;1.942642857;0.027779;0.020371429;0.004141;2.492671429
26;23;0;22;0;2.3909;1.942642857;0.027779;0.020371429;0.004141;2.390814286
26;24;0;7.45;0;2.0949;1.942642857;0.027779;0.020371429;0.004141;2.09441
26;25;0;16.5;0;2.279;1.942642857;0.027779;0.020371429;0.004141;2.278771429
26;26;0;20;0;2.3502;1.942642857;0.027779;0.020371429;0.004141;2.350071429
26;27;0;17.5;0;2.2993;1.942642857;0.027779;0.020371429;0.004141;2.299142857
26;28;0;22;0;2.3909;1.942642857;0.027779;0.020371429;0.004141;2.390814286
26;29;0;6;0;2.0654;1.942642857;0.027779;0.020371429;0.004141;2.064871429
26;30;0;15.5;0;2.2586;1.942642857;0.027779;0.020371429;0.004141;2.2584
26;31;0;12.5;0;2.1976;1.942642857;0.027779;0.020371429;0.004141;2.197285714
26;32;0;12;0;2.1874;1.942642857;0.027779;0.020371429;0.004141;2.1871
26;33;0;26;0;2.4723;1.942642857;0.027779;0.020371429;0.004141;2.4723
26;34;0;26;0;2.4723;1.942642857;0.027779;0.020371429;0.004141;2.4723
26;35;0;24;0;2.4316;1.942642857;0.027779;0.020371429;0.004141;2.431557143
26;36;0;16;0;2.2688;1.942642857;0.027779;0.020371429;0.004141;2.268585714
26;37;0;16;0;2.2688;1.942642857;0.027779;0.020371429;0.004141;2.268585714
26;38;0;6;0;2.0654;1.942642857;0.027779;0.020371429;0.004141;2.064871429
26;39;0;16;0;2.2688;1.942642857;0.027779;0.020371429;0.004141;2.268585714
26;40;0;19.87;0;2.3476;1.942642857;0.027779;0.020371429;0.004141;2.347423143
26;41;0;12;0;2.1874;1.942642857;0.027779;0.020371429;0.004141;2.1871
26;42;0;8;0;2.1061;1.942642857;0.027779;0.020371429;0.004141;2.105614286
26;43;0;14.25;0;2.2332;1.942642857;0.027779;0.020371429;0.004141;2.232935714
26;44;0;12;0;2.1874;1.942642857;0.027779;0.020371429;0.004141;2.1871
26;45;0;8;0;2.1061;1.942642857;0.027779;0.020371429;0.004141;2.105614286
26;46;0;22;0;2.3909;1.942642857;0.027779;0.020371429;0.004141;2.390814286
26;47;0;12;0;2.1874;1.942642857;0.027779;0.020371429;0.004141;2.1871
26;48;0;24;0;2.4316;1.942642857;0.027779;0.020371429;0.004141;2.431557143
26;49;0;26;0;2.4723;1.942642857;0.027779;0.020371429;0.004141;2.4723
26;50;0;16;0;2.2688;1.942642857;0.027779;0.020371429;0.004141;2.268585714
27;1;0;26;0;2.1916;1.771142857;0.027779;0.016171429;0.004141;2.1916
27;2;0;22.5;0;2.135;1.771142857;0.027779;0.016171429;0.004141;2.135
27;3;0;22;0;2.1269;1.771142857;0.027779;0.016171429;0.004141;2.126914286
27;4;0;26;0;2.1916;1.771142857;0.027779;0.016171429;0.004141;2.1916
27;5;0;18;0;2.0622;1.771142857;0.027779;0.016171429;0.004141;2.062228571
27;6;0;12;0;1.9651;1.771142857;0.027779;0.016171429;0.004141;1.9652
27;7;0;27.08;0;2.209;1.771142857;0.027779;0.016171429;0.004141;2.209065143
27;8;0;26;0;2.1916;1.771142857;0.027779;0.016171429;0.004141;2.1916
27;9;0;12;0;1.9651;1.771142857;0.027779;0.016171429;0.004141;1.9652
27;10;0;22;0;2.1269;1.771142857;0.027779;0.016171429;0.004141;2.126914286
27;11;0;24;0;2.1592;1.771142857;0.027779;0.016171429;0.004141;2.159257143
27;12;0;26;0;2.1916;1.771142857;0.027779;0.016171429;0.004141;2.1916
27;13;0;8.8;0;1.9133;1.771142857;0.027779;0.016171429;0.004141;1.913451429
27;14;0;15;0;2.0136;1.771142857;0.027779;0.016171429;0.004141;2.013714286
27;15;0;22;0;2.1269;1.771142857;0.027779;0.016171429;0.004141;2.126914286
27;16;0;8.5;0;1.9084;1.771142857;0.027779;0.016171429;0.004141;1.9086
27;17;0;16.23;0;2.0334;1.771142857;0.027779;0.016171429;0.004141;2.033605143
27;18;0;12;0;1.9651;1.771142857;0.027779;0.016171429;0.004141;1.9652
27;19;0;22;0;2.1269;1.771142857;0.027779;0.016171429;0.004141;2.126914286
